#Canon Classes (un-obfuscated)
class_484,Atom
class_485,AtomReference
class_486,AtomType
class_487,BondEffect
class_488,Bounds2
class_489,ButtonDrawingLogic
class_490,Campaign
class_491,CampaignChapter
class_492,CampaignItem
class_493,Campaigns
class_496,ChapterUnlockEvent
class_497,Color
class_498,CompiledInstruction
class_499,CompiledProgram
class_500,CompiledProgramGrid
class_501,ConfigFile
class_502,ControlsScreen
class_503,CreditsScreen
class_511,DocumentScreen
class_513,EditableProgram
class_515,Editor
class_516,FontGlyphInfo
class_517,FontRenderer
class_518,GameLogic
class_524,HexIndex
class_527,HexRotation
class_528,HttpManager
class_534,Index2
class_535,InstructionType
class_536,IScreen
class_537,JournalScreen
class_540,JournalSubmissionScreen
class_542,JournalVolume
class_543,JournalVolumes
class_544,KeyboardLayout
class_545,Language
class_546,LeaderboardEntry
class_547,LocString
class_548,Log
class_549,Matrix4
class_550,Maybe
class_551,MeshVertex
class_552,MessageBoxScreen
class_554,Molecule
class_560,MoleculeEditorScreen
class_564,NormalInputMode
class_565,OptionsScreen
class_566,Part
class_568,PartInputDraggingMode
class_571,DraggedPart
class_572,PartSimState
class_573,PartTypeForToolbar
class_574,PsdGuide
class_575,PsdImage
class_577,PsdImageResource
class_578,Puzzle
class_581,PuzzleEditorScreen
class_586,PuzzleInfoScreen
class_588,PuzzleInputOutput
class_589,Puzzles
class_591,PuzzleSelectScreen
class_595,Range2
class_597,Renderer
class_599,RenderTargetHandle
class_600,RobustFileWriter
class_602,PendingFileWrite
class_603,Rotation2
class_604,ScoreManager
class_608,LPUtf8StrMarshaler
class_609,SDL
class_711,SDL_AudioSpec
class_712,SDL_MessageBoxColor
class_713,SDL_MessageBoxColorScheme
class_714,SDL_Rect
class_715,SDL_Surface
class_716,SDL_version
class_717,Sim
class_726,SolitaireGameState
class_728,SolitaireScreen
class_734,SolitareState
class_738,WaitingForNewGameFields
class_739,WonLastGameField
class_740,Solution
class_746,SolutionEditorBase
class_751,SolutionEditorPartsPanel
class_756,PartsSection
class_757,SolutionEditorProgramPanel
class_761,SolutionEditorScreen
class_764,SolutionManager
class_766,SolutionNameOnDisk
class_767,Sound
class_768,Steam
class_771,StoryPanel
class_774,Time
class_775,Transitions
class_776,UploadMessageScreen
class_777,Vector2
class_778,Vector3
class_779,Vignette
class_782,VignetteEvent
class_786,LineFields
class_787,Win32
class_788,WorkshopManager

# New
class_433,OS
class_439,Statistic
class_661,SdlKey
class_720,Movement
class_3,PuzzleFlags
class_167,SimState
